,from,to,from_xy,to_xy,walking,driving,lat,long
22,0,23,"(11.255693199999998, 43.772858299999996)","(11.264658, 43.77151)",577,327.7,43.772858299999996,11.255693199999998
23,0,-1,"(11.255693199999998, 43.772858299999996)","(11.247123, 43.772557)",633.3,753.5,43.772858299999996,11.255693199999998
24,1,0,"(11.2564189, 43.771534100000004)","(11.255693199999998, 43.772858299999996)",126,96.8,43.771534100000004,11.2564189
25,1,2,"(11.2564189, 43.771534100000004)","(11.250781, 43.7700828)",418.7,579.1,43.771534100000004,11.2564189
26,1,3,"(11.2564189, 43.771534100000004)","(11.2534118, 43.7769185)",699.6,398,43.771534100000004,11.2564189
27,1,4,"(11.2564189, 43.771534100000004)","(11.255579699999998, 43.763469)",873.8,804,43.771534100000004,11.2564189
28,1,5,"(11.2564189, 43.771534100000004)","(11.2553108, 43.7677856)",372.8,429.1,43.771534100000004,11.2564189
29,1,6,"(11.2564189, 43.771534100000004)","(11.255431699999999, 43.7708275)",104.2,87.5,43.771534100000004,11.2564189
30,1,7,"(11.2564189, 43.771534100000004)","(11.255705099999998, 43.772806)",126,96.8,43.771534100000004,11.2564189
31,1,8,"(11.2564189, 43.771534100000004)","(11.2531435, 43.767925)",414.4,459,43.771534100000004,11.2564189
32,1,9,"(11.2564189, 43.771534100000004)","(11.2541477, 43.7681911)",413.4,448,43.771534100000004,11.2564189
33,1,10,"(11.2564189, 43.771534100000004)","(11.250670199999998, 43.767161200000004)",613.6,646.8,43.771534100000004,11.2564189
34,1,11,"(11.2564189, 43.771534100000004)","(11.2554649, 43.7730912)",650,96.8,43.771534100000004,11.2564189
35,1,12,"(11.2564189, 43.771534100000004)","(11.24938, 43.77463)",581.2,575,43.771534100000004,11.2564189
36,1,13,"(11.2564189, 43.771534100000004)","(11.26282, 43.76298)",1051.9,702,43.771534100000004,11.2564189
37,1,14,"(11.2564189, 43.771534100000004)","(11.25433, 43.77003)",228,145.8,43.771534100000004,11.2564189
38,1,15,"(11.2564189, 43.771534100000004)","(11.255230000000001, 43.77313)",650,96.8,43.771534100000004,11.2564189
39,1,16,"(11.2564189, 43.771534100000004)","(11.25564, 43.76968)",218.8,120,43.771534100000004,11.2564189
40,1,17,"(11.2564189, 43.771534100000004)","(11.248335, 43.762288)",1213.2,920.5,43.771534100000004,11.2564189
41,1,18,"(11.2564189, 43.771534100000004)","(11.264966000000001, 43.762705)",1308.9,685.5,43.771534100000004,11.2564189
42,1,19,"(11.2564189, 43.771534100000004)","(11.255056, 43.773106)",180.9,96.8,43.771534100000004,11.2564189
43,1,20,"(11.2564189, 43.771534100000004)","(11.256192, 43.769292)",236.4,283.5,43.771534100000004,11.2564189
44,1,21,"(11.2564189, 43.771534100000004)","(11.251878999999999, 43.777276)",649,428.7,43.771534100000004,11.2564189
45,1,22,"(11.2564189, 43.771534100000004)","(11.258814, 43.776761)",717.5,354.2,43.771534100000004,11.2564189
46,1,23,"(11.2564189, 43.771534100000004)","(11.264658, 43.77151)",477,317,43.771534100000004,11.2564189
47,1,-1,"(11.2564189, 43.771534100000004)","(11.247123, 43.772557)",600.6,742.8,43.771534100000004,11.2564189
48,2,0,"(11.250781, 43.7700828)","(11.255693199999998, 43.772858299999996)",467.6,310.8,43.7700828,11.250781
49,2,1,"(11.250781, 43.7700828)","(11.2564189, 43.771534100000004)",418.7,550.8,43.7700828,11.250781
50,2,3,"(11.250781, 43.7700828)","(11.2534118, 43.7769185)",731.8,605.1,43.7700828,11.250781
51,2,4,"(11.250781, 43.7700828)","(11.255579699999998, 43.763469)",735.9,1335.3,43.7700828,11.250781
52,2,5,"(11.250781, 43.7700828)","(11.2553108, 43.7677856)",349.4,706.9,43.7700828,11.250781
53,2,6,"(11.250781, 43.7700828)","(11.255431699999999, 43.7708275)",323,365.3,43.7700828,11.250781
54,2,7,"(11.250781, 43.7700828)","(11.255705099999998, 43.772806)",467.6,310.8,43.7700828,11.250781
