index,from,to,from_xy,to_xy,walking,driving,lat,long
51,3,-1,"11.2534118, 43.7769185","11.251184, 43.770312",715.4,609.3,11.2534118,43.7769185
52,4,0,"11.255579699999998, 43.763469","11.255693199999998, 43.772858299999996",926.3,1038.8,11.2555797,43.763469
53,4,1,"11.255579699999998, 43.763469","11.2564189, 43.771534100000004",873.8,1022.8,11.2555797,43.763469
54,4,2,"11.255579699999998, 43.763469","11.250781, 43.7700828",735.9,1184.3,11.2555797,43.763469
55,4,3,"11.255579699999998, 43.763469","11.2534118, 43.7769185",1349.5,1263.1,11.2555797,43.763469
56,4,5,"11.255579699999998, 43.763469","11.2553108, 43.7677856",624.9,638.9,11.2555797,43.763469
57,4,6,"11.255579699999998, 43.763469","11.255431699999999, 43.7708275",769.6,957.2,11.2555797,43.763469
58,4,7,"11.255579699999998, 43.763469","11.255705099999998, 43.772806",926.3,1038.8,11.2555797,43.763469
59,4,8,"11.255579699999998, 43.763469","11.2531435, 43.767925",459.4,684,11.2555797,43.763469
60,4,9,"11.255579699999998, 43.763469","11.2541477, 43.7681911",547.6,661.4,11.2555797,43.763469
61,4,10,"11.255579699999998, 43.763469","11.250670199999998, 43.767161200000004",528.1,878.8,11.2555797,43.763469
62,4,11,"11.255579699999998, 43.763469","11.2554649, 43.7730912",1407.6,1038.8,11.2555797,43.763469
63,4,12,"11.255579699999998, 43.763469","11.24938, 43.77463",1194.2,1369.9,11.2555797,43.763469
64,4,-1,"11.255579699999998, 43.763469","11.251184, 43.770312",751.8,1167,11.2555797,43.763469
65,5,0,"11.2553108, 43.7677856","11.255693199999998, 43.772858299999996",449,661.2,11.2553108,43.7677856
66,5,1,"11.2553108, 43.7677856","11.2564189, 43.771534100000004",372.8,901.1,11.2553108,43.7677856
67,5,2,"11.2553108, 43.7677856","11.250781, 43.7700828",349.4,545.4,11.2553108,43.7677856
68,5,3,"11.2553108, 43.7677856","11.2534118, 43.7769185",950.7,1194.7,11.2553108,43.7677856
69,5,4,"11.2553108, 43.7677856","11.255579699999998, 43.763469",624.9,1230.3,11.2553108,43.7677856
70,5,6,"11.2553108, 43.7677856","11.255431699999999, 43.7708275",292.3,715.6,11.2553108,43.7677856
71,5,7,"11.2553108, 43.7677856","11.255705099999998, 43.772806",449,661.2,11.2553108,43.7677856
72,5,8,"11.2553108, 43.7677856","11.2531435, 43.767925",165.5,45.1,11.2553108,43.7677856
73,5,9,"11.2553108, 43.7677856","11.2541477, 43.7681911",77.3,22.5,11.2553108,43.7677856
74,5,10,"11.2553108, 43.7677856","11.250670199999998, 43.767161200000004",364.7,239.9,11.2553108,43.7677856
75,5,11,"11.2553108, 43.7677856","11.2554649, 43.7730912",966.4,661.2,11.2553108,43.7677856
76,5,12,"11.2553108, 43.7677856","11.24938, 43.77463",807.7,731,11.2553108,43.7677856
77,5,-1,"11.2553108, 43.7677856","11.251184, 43.770312",365.3,528.1,11.2553108,43.7677856
78,6,0,"11.255431699999999, 43.7708275","11.255693199999998, 43.772858299999996",171.3,366,11.2554317,43.7708275
79,6,1,"11.255431699999999, 43.7708275","11.2564189, 43.771534100000004",104.2,562.2,11.2554317,43.7708275
80,6,2,"11.255431699999999, 43.7708275","11.250781, 43.7700828",323,829.5,11.2554317,43.7708275
